question,option_1,option_2,option_3,option_4,answer,difficulty,type
Why do you want to work with our company?,Salary,Brand name,Learning and growth,No reason,Learning and growth,easy,hr
What will you do if your role becomes repetitive?,Quit immediately,Do minimum work,Seek learning opportunities,Complain,Seek learning opportunities,easy,hr
How do you align personal goals with company goals?,Ignore company goals,Focus only on salary,Contribute while growing,No alignment needed,Contribute while growing,easy,hr
What motivates you to perform better at work?,Fear,Competition,Growth and impact,Pressure,Growth and impact,easy,hr
How do you handle a mistake that affects your team?,Hide it,Blame others,Inform and fix,Ignore,Inform and fix,easy,hr
Describe a situation where you had to learn something quickly.,Never faced,Avoided task,Learned and delivered,Ignored task,Learned and delivered,easy,hr
Describe how you handle learning a completely new skill under pressure.,Avoid learning,Learn and apply quickly,Wait for training,Delegate work,Learn and apply quickly,easy,hr
What would you do if your values conflict with a work decision?,Ignore values,Discuss professionally,Quit immediately,Complain publicly,Discuss professionally,hard,hr
How do you measure your professional growth?,Salary only,Skills and impact,Job title,Peer comparison,Skills and impact,moderate,hr
What motivates you during challenging projects?,Fear of failure,Learning and contribution,Pressure,Competition,Learning and contribution,easy,hr
How do you ensure accountability in your work?,Blame system,Take ownership,Avoid responsibility,Wait for feedback,Take ownership,moderate,hr
Why should we hire you over other candidates?,I need experience,I meet requirements,I add value and learn fast,No reason,I add value and learn fast,easy,hr
How do you handle work pressure?,Avoid tasks,Panic,Plan and stay focused,Complain,Plan and stay focused,easy,hr
What does success mean to you?,Money only,Recognition,Growth and impact,No idea,Growth and impact,easy,hr
How do you respond to negative feedback?,Argue,Ignore,Accept and improve,Quit,Accept and improve,easy,hr
Where do you see yourself in five years?,No plan,Same role,Skilled professional,Business owner,Skilled professional,easy,hr
A team member is constantly missing deadlines. What do you do?,Ignore it,Complain to manager,Talk to them privately to understand why,Do their work for them,Talk to them privately to understand why,moderate,hr
