question,option_1,option_2,option_3,option_4,answer,difficulty,type
What is list comprehension in Python?,Loop syntax,Compact list creation,Tuple creation,Dictionary method,Compact list creation,easy,technical
What is the output type of range() in Python?,list,tuple,range object,set,range object,easy,technical
Which ML algorithm is used for classification?,Linear Regression,KNN,K-Means,Apriori,KNN,easy,technical
What does normalization do in ML?,Adds noise,Scales features,Deletes data,Encodes labels,Scales features,easy,technical
Which SQL clause groups rows?,WHERE,GROUP BY,HAVING,ORDER BY,GROUP BY,easy,technical
What does INNER JOIN return?,All rows,Matching rows,Left table only,Right table only,Matching rows,easy,technical
What is AI?,Human intelligence,Machine intelligence,Hardware system,Software only,Machine intelligence,easy,technical
What is NLP used for?,Image processing,Text processing,Audio storage,Networking,Text processing,easy,technical
You need to process a large CSV file efficiently. What is the best approach?,Load entire file at once,Use generators/chunks,Convert to JSON first,Use recursion,Use generators/chunks,moderate,technical
A Python script is slow. What should you do first?,Rewrite in C,Profile the code,Add threads,Ignore performance,Profile the code,easy,technical
You want reusable code across projects. What should you use?,Global variables,Functions and modules,Hardcoding,Comments only,Functions and modules,easy,technical
Which approach improves code readability and maintenance?,Long functions,Meaningful variable names,No comments,Nested loops,Meaningful variable names,easy,technical
Your ML model performs well on training but poorly on new data. What is the best fix?,Add more epochs,Reduce features / regularize,Remove test data,Ignore results,Reduce features / regularize,moderate,technical
You have limited labeled data. What is a practical solution?,Discard data,Use transfer learning,Collect nothing,Stop project,Use transfer learning,hard,technical
"Before training an ML model, what step improves results most?",Increase hardware,Clean and preprocess data,Deploy model,Tune UI,Clean and preprocess data,easy,technical
Your dataset is imbalanced. What should you do?,Ignore imbalance,Resample or adjust weights,Delete minority class,Shuffle data only,Resample or adjust weights,moderate,technical
A query is slow on large tables. What should you add?,More rows,Indexes,Triggers,Views only,Indexes,moderate,technical
You need consistent data across tables. What ensures this?,Indexes,Constraints,Aliases,Sorting,Constraints,easy,technical
You want to track historical changes in records. What is best?,Overwrite data,Audit/history table,Delete rows,Use SELECT only,Audit/history table,hard,technical
An AI chatbot gives irrelevant answers. What should be improved first?,UI design,Training data quality,Server speed,Frontend,Training data quality,moderate,technical
Which AI system learns from user feedback over time?,Rule-based system,Reinforcement learning system,Static program,Compiler,Reinforcement learning system,easy,technical
What is the output of print(type(None))?,<class 'NoneType'>,<class 'null'>,<class 'void'>,<class 'None'>,<class 'NoneType'>,easy,technical
Which data type is returned by input() in Python 3?,int,str,float,bool,str,easy,technical
Which keyword is used to create an anonymous function?,def,func,lambda,anon,lambda,easy,technical
