question,option_1,option_2,option_3,option_4,answer,difficulty,type
A shopkeeper marks an item 25% above cost price and then gives a 10% discount. His profit percentage is:,10%,12.5%,15%,8.75%,12.5%,hard,aptitude
"The ratio of men to women in a team is 7:5. If 20% of the men and 40% of the women are promoted, what fraction of the team gets promoted?",17/60,19/60,1/3,7/24,17/60,hard,aptitude
Two pipes can fill a tank in 18 minutes and 27 minutes respectively. A leak can empty the full tank in 54 minutes. In how many minutes will the empty tank be filled if all three are opened together?,12,13.5,15,16.2,13.5,hard,aptitude
"A sum becomes Rs 14,400 at 20% compound interest per annum in 2 years. The principal is:","Rs 10,000","Rs 11,000","Rs 12,000","Rs 12,500","Rs 10,000",hard,aptitude
"The average of 11 numbers is 62. If the average of the first 6 numbers is 60 and that of the last 6 numbers is 65, the 6th number is:",64,66,68,70,68,hard,aptitude
"A can do a work in 24 days and B in 36 days. They work together for 8 days, after which A leaves. In how many more days will B finish the remaining work?",12,14,16,18,16,hard,aptitude
A boat takes 3 hours to travel 24 km downstream and 4 hours to travel 16 km upstream. The speed of the boat in still water is:,5 km/h,6 km/h,7 km/h,8 km/h,6 km/h,hard,aptitude
"A mixture contains milk and water in the ratio 7:3. If 20 litres of the mixture are replaced with water and the new ratio becomes 7:5, the original quantity of the mixture was:",100 litres,110 litres,120 litres,140 litres,120 litres,hard,aptitude
"If 15 men can complete a job in 28 days, then 21 men working at 80% efficiency can complete the same job in:",20 days,22 days,25 days,30 days,25 days,hard,aptitude
"A person spends 30% of income on rent, 20% of the remaining on transport, and 25% of what is then left on food. If he is left with Rs 16,800, his income is:","Rs 36,000","Rs 38,000","Rs 40,000","Rs 42,000","Rs 40,000",hard,aptitude
"The difference between simple interest and compound interest on Rs 20,000 for 2 years at 10% per annum is:",Rs 180,Rs 200,Rs 220,Rs 240,Rs 200,hard,aptitude
"In an exam, a student gets 4 marks for each correct answer and loses 1 mark for each wrong answer. If he attempts all 50 questions and scores 140, the number of correct answers is:",36,38,40,42,38,hard,aptitude
A trader mixes two varieties of rice costing Rs 48/kg and Rs 60/kg in the ratio 5:3. At what price per kg should he sell the mixture to gain 20%?,Rs 63.0,Rs 64.8,Rs 66.0,Rs 67.2,Rs 63.0,hard,aptitude
"A sum of money is divided among A, B and C in the ratio 2:3:5. If C gets Rs 12,000 more than A, the total sum is:","Rs 30,000","Rs 36,000","Rs 40,000","Rs 48,000","Rs 40,000",hard,aptitude
"A car covers the first 40% of a journey at 60 km/h, the next 40% at 75 km/h, and the remaining distance at 50 km/h. The average speed for the whole journey is closest to:",61.9 km/h,62.5 km/h,63.2 km/h,64.5 km/h,62.5 km/h,hard,aptitude
"If the radius of a circle is increased by 20%, by what percent does its area increase?",40%,42%,44%,48%,44%,hard,aptitude
A number when divided by 296 leaves remainder 75. What remainder will be left when the same number is divided by 37?,0,1,2,3,1,hard,aptitude
"The present ages of A and B are in the ratio 5:7. Four years ago, the ratio was 3:5. The present age of B is:",14 years,21 years,28 years,35 years,14 years,hard,aptitude
"The price of a product is increased by 25% and then reduced by 20%. Compared to the original price, the final price is:",5% less,Same,4% more,2% less,Same,hard,aptitude
A train 150 m long passes a pole in 15 seconds. In how many seconds will it cross a platform 100 m long at the same speed?,20 sec,22 sec,25 sec,30 sec,25 sec,hard,aptitude
The average of 8 consecutive integers is 23.5. The largest integer is:,26,27,28,29,27,hard,aptitude
"A and B invest in a business in the ratio 3:5. After 4 months, A doubles his investment; after 6 months, B withdraws one-fourth of his investment. The profit at year end is Rs 6,480. A's share is:","Rs 3,240","Rs 3,360","Rs 3,456","Rs 3,600","Rs 3,456",hard,aptitude
"Find the next term in the series: 3, 7, 15, 31, 63, ?",95,111,127,129,127,hard,aptitude
"If in a certain code each letter is moved one step forward in the alphabet, then 'CANDLE' becomes:",DBOEMF,DBOENG,DBPENF,DCOEMF,DBOEMF,hard,aptitude
Statements: All analysts are readers. Some readers are writers. Conclusions: I. Some writers are analysts. II. Some readers are analysts.,Only I follows,Only II follows,Both follow,Neither follows,Only II follows,hard,aptitude
"Five persons P, Q, R, S and T sit in a row facing north. Q is second to the right of P. R is immediate left of Q. S is not at an end. T is to the right of Q. Who sits in the middle?",P,Q,R,T,Q,hard,aptitude
A clock shows 3:20. What is the angle between the hour hand and minute hand?,20°,30°,40°,50°,20°,hard,aptitude
"If 'book' is called 'pen', 'pen' is called 'eraser', 'eraser' is called 'scale', and 'scale' is called 'book', what do you use to write?",book,pen,eraser,scale,eraser,hard,aptitude
"Pointing to a woman, Raj said, 'Her mother is the only daughter of my mother.' How is the woman related to Raj?",Sister,Daughter,Niece,Mother,Daughter,hard,aptitude
Find the odd one out:,14-196,17-289,19-381,23-529,19-381,hard,aptitude
"If South-East becomes North, North-East becomes West and so on with each direction turning 135° anticlockwise, then East will become:",North-West,South-West,South,North,North-West,hard,aptitude
"In a class, Anil is 15th from the top and 18th from the bottom. How many students are there in the class?",31,32,33,34,32,hard,aptitude
Statements: Some pens are pencils. All pencils are markers. Conclusions: I. Some pens are markers. II. All markers are pencils.,Only I follows,Only II follows,Both follow,Neither follows,Only I follows,hard,aptitude
"Which number replaces the question mark? 2, 6, 12, 20, 30, ?",36,40,42,44,42,hard,aptitude
A is taller than B. B is not shorter than C. D is taller than A. Who is definitely the tallest?,A,B,C,D,D,hard,aptitude
"If MONDAY is coded as 123456 and MONEY as 12789, then DOME is coded as:",4128,4182,4218,4281,4128,hard,aptitude
"A man walks 6 km north, then 8 km east, then 6 km south. How far is he from the starting point?",2 km,6 km,8 km,10 km,8 km,hard,aptitude
"Six persons A, B, C, D, E and F sit in a row facing north. A is second to the left of D. B is immediate right of A. C is not at an end. F is to the left of C. E is immediate right of D. Who sits at the left end?",A,B,C,F,F,hard,aptitude
"If '+' means '×', '-' means '+', '×' means '÷' and '÷' means '-', then 18 + 6 - 4 × 2 ÷ 3 = ?",105,106,107,108,107,hard,aptitude
"If 1 January 2024 was a Monday, then 1 January 2025 was:",Tuesday,Wednesday,Thursday,Friday,Wednesday,hard,aptitude
Complete the analogy: 27 : 9 :: 64 : ?,12,14,16,18,16,hard,aptitude
"Find the missing term: AZ, BY, CX, DW, ?",EV,FU,EX,FV,EV,hard,aptitude
Choose the correctly spelt word:,Accomodate,Acommodate,Accommodate,Acomodate,Accommodate,hard,aptitude
Choose the option that best replaces the underlined phrase: 'No sooner did the meeting begin _than_ the power failed.',when,then,than,as,than,hard,aptitude
Select the synonym of 'meticulous':,careless,precise,hesitant,ordinary,precise,hard,aptitude
Select the antonym of 'abundant':,plentiful,scarce,ample,overflowing,scarce,hard,aptitude
Choose the correct sentence:,Each of the players have a locker.,Each of the players has a locker.,Each of the player has a locker.,Each players has a locker.,Each of the players has a locker.,hard,aptitude
Arrange the parts to form a meaningful sentence: P. in spite of Q. completed the mission R. heavy rain S. the team,SPQR,SQPR,SRPQ,RSPQ,SQPR,hard,aptitude
Fill in the blank: The manager insisted that every applicant _____ the original documents.,bring,brings,brought,bringing,bring,hard,aptitude
Choose the word nearest in meaning to 'brevity':,clarity,shortness,politeness,boldness,shortness,hard,aptitude
Identify the grammatically correct option:,Neither the manager nor the employees was ready.,Neither the manager nor the employees were ready.,Neither the manager or the employees were ready.,Neither manager nor employees was ready.,Neither the manager nor the employees were ready.,hard,aptitude
Choose the most appropriate one-word substitution: 'A person who can use both hands equally well',ambidextrous,ambivalent,anonymous,audacious,ambidextrous,hard,aptitude
"You are given two tasks with the same deadline by different managers. One task is more visible, the other blocks your team's work. What should you do first?",Finish the more visible task to impress senior leaders,Start the blocking task after clarifying priorities and impact,Do the easier task first so one item is closed quickly,Wait until one manager follows up again,Start the blocking task after clarifying priorities and impact,hard,aptitude
